Name,Price,Market Cap,24H Vol,24H %,7D %,30D %,ATH,% ATH
HEX HEX,0.05160,8948741455,28931282,-4.22,59.94,150.77,0.51106,-90.0
Wrapped TRON WTRX,0.06511,6619637565,2351680,-0.35,2.31,,,
Lido Staked ETH stETH,1613.87,5628751179,19989674,-2.07,-2.53,23.72,4824.29,-66.0
T-mac DAO TMG,1.56688,1566883349,39527,-3.39,1.38,501.07,2.40180,-37.0
Bitcoin BEP2 BTCB,22748.57,1203693243,6291646,-1.33,-4.76,31.66,68760.90,-67.0
Wrapped BNB WBNB,321.309,1202357998,129893970,-2.71,-2.41,16.27,488.972,-34.0
Frax FRAX,0.99951,1022855428,53540679,0.15,-0.09,-0.05,1.05024,-5.0
Huobi BTC HBTC,23511.51,916231724,15934,-0.32,-1.42,31.52,68664.41,-67.0
BitTorrent BTTOLD,0.00072,713997105,199323,-1.51,-2.27,-27.18,0.01428,-78.0
TNC Coin TNC,0.11313,661938391,741280,1.17,2.87,-24.41,0.01747,-99.0
FTX Token FTT,1.78484,587024816,25314692,-13.46,-9.74,50.25,84.9007,-98.0
Radix XRD,0.04741,478753664,534025,-7.05,-20.13,,0.06033,-22.0
Tether Gold XAUT,1866.13,460045362,1499312,-0.13,-3.6,-0.42,3159.29,-41.0
Baby Doge Coin BabyDoge,0.00000,383227822,27471280,-4.58,102.56,230.26,0.00000,-82.0
Bitget Token BGB,0.26987,377814103,8049585,9.05,23.06,47.3,0.29593,-9.0
GensoKishi Metaverse MV,0.20327,347446585,1209909,-0.14,-12.48,21.72,0.97899,-79.0
Nexus Mutual NXM,51.5979,340239830,86199,-1.78,-2.27,,0.00001,339019.0
WEMIX WEMIX,1.27093,311941328,7825762,-7.75,35.79,254.3,24.7286,-95.0
JUST Stablecoin USDJ,1.10750,302622941,962132,-0.9,-1.87,2.35,2.13089,-48.0
DeFiChain DFI,0.58268,297597330,2787680,-2.63,-10.85,36.02,5.62766,-90.0
LINK LN,38.2284,257447289,803193,-5.6,-9.18,-3.54,316.468,-88.0
FLOKI FLOKI,0.00003,250041045,22184440,-3.59,5.94,243.36,0.00035,-92.0
Alethea Artificial Liquid Intelligence Token ALI,0.06548,234958266,5195924,-7.74,81.81,187.8,0.09881,-35.0
Liquity USD LUSD,1.00322,227411856,940575,0.27,0.03,-2.27,1.06825,-6.0
Edgecoin EDGT,1.00013,210027939,33622873,-0.03,-0.01,-0.03,1.01034,-1.0
Bitgert BRISE,0.00000,194881197,3221275,-4.49,-15.89,57.35,0.00000,-72.0
Telcoin TEL,0.00281,184531063,2994616,-7.93,21.12,40.17,0.06473,-96.0
Anyswap ANY,9.81052,182861498,35452,-2.59,-1.14,89.74,26.5579,-63.0
Wrapped Everscale WEVER,0.10046,174322681,172812,-0.83,-13.97,,,
LUKSO LYXe,10.8069,166489598,1384777,-1.65,17.8,19.85,41.2341,-74.0
Beldex BDX,0.03712,149214366,2622380,-0.72,-6.94,-12.05,0.49541,-93.0
Locus Chain LOCUS,0.06669,138781075,376741,-11.81,-18.26,3.06,0.20373,-66.0
VVS Finance VVS,0.00000,138573889,874744,-1.95,1.01,,,
Gifto GFT,0.13817,138067098,778790801,-0.42,330.66,-32.76,1.20311,-98.0
STASIS EURO EURS,1.07794,133800096,1248915,-0.05,-1.52,0.84,1.51718,-29.0
Creditcoin CTC,0.62584,129708080,12421537,-3.72,-3.23,,,
Radio Caca RACA,0.00038,120958931,14242222,2.09,-15.39,-25.22,0.01193,-97.0
Celer Network CELR,0.01807,128004485,11767249,-4.05,-8.57,61.47,0.19557,-91.0
Pundi X [new] PUNDIX,0.49295,127423187,9465239,-1.39,4.2,35.3,1.03085,-51.0
Civic CVC,0.12619,126194816,113152957,1.27,15.48,51.73,1.66211,-92.0
Syscoin SYS,0.16744,126181639,3418223,-3.78,-1.66,51.05,1.32020,-87.0
Galxe GAL,2.27275,123336015,41933829,-8.79,-10.41,83.59,3.35464,-32.0
Numeraire NMR,20.7537,122208526,21704650,-8.19,15.6,37.28,92.9090,-78.0
Energy Web Token EWT,4.04371,121562648,11826568,10.29,9.59,23.54,22.7367,-82.0
Aragon ANT,2.99098,119728322,11087895,1.73,-8.81,29.62,15.0523,-80.0
Gitcoin GTC,1.95985,117421037,17229151,-6.98,-3.89,44.33,4.38195,-100.0
Status SNT,0.02956,116665350,8247809,-2.39,-13.14,38.04,0.67595,-96.0
Request Network REQ,0.11665,116633487,7225883,-0.61,6.64,26.58,1.18403,-90.0
Kaspa KAS,0.00702,116025691,2755483,-3.77,20.06,51.93,0.00974,-27.0
aelf ELF,0.20928,115914656,12982887,0.93,12.6,19.21,2.76568,-92.0
COTI COTI,0.09824,115561955,15300437,-2.12,-7.92,55.41,0.67755,-85.0
Nano XNO,0.86679,115498426,2092274,-2.25,-1.42,-35.42,37.6212,-88.0
Tribe TRIBE,0.25465,115469845,446194,-0.16,-0.25,20.04,1.35148,-81.0
Vulcan Forged PYR PYR,4.19150,113934299,15129648,-5.41,0.2,20.03,49.1565,-92.0
Polymesh POLYX,0.20168,112777651,15385118,-2.3,6.59,48.7,0.39273,-49.0
NuCypher NU,0.15919,111913230,5487738,-1.31,-10.5,69.79,2.98031,-95.0
Highstreet HIGH,3.56629,109280698,221202430,-11.7,-5.17,293.65,6.47252,-46.0
Saitama SAITAMA,0.00285,110128351,2187692,8.77,7.86,138.42,0.00338,-14.0
Cartesi CTSI,0.16665,109009516,15702730,-7.01,3.38,50.31,0.18057,-8.0
DeXe DEXE,2.98783,108973944,1741424,-0.69,4.46,22.79,25.7088,-88.0
Centrifuge CFG,0.29863,107586660,430511,1.62,4.28,83.87,2.34364,-87.0
Verasity VRA,0.01044,108025088,73530114,-3.72,60.68,289.26,0.08608,-88.0
MobileCoin MOB,1.40910,104580690,2547051,-5.07,-5.09,,1.60913,-12.0
Venus USDC vUSDC,0.02186,104311576,2520,0.01,0.08,,,
Ardor ARDR,0.10298,102872921,8145299,4.46,12.31,46.11,2.55371,-96.0
Alpha Finance Lab ALPHA,0.13614,102102897,6573489,-1.71,-1.13,-28.17,0.02640,-76.0
Humanscape HUM,0.11130,101660010,7130580,-0.64,8.66,43.3,1.40763,-92.0
Radicle RAD,2.08179,101651805,12754578,0.81,0.25,30.87,25.3859,-92.0
Dent DENT,0.00102,101115995,9663529,-1.64,2.51,41.88,0.11140,-99.0
Orbs ORBS,0.03494,100527612,6203553,-3.34,15.81,49.25,0.34975,-90.0
Mass Vehicle Ledger MVL,0.00445,100298831,7534041,-1.58,11.05,,0.06560,-95.0
dKargo DKA,0.04042,99612341,6482941,-3.25,7.77,37.37,0.26802,-85.0
Hashflow HFT,0.53994,100014589,66857103,-5.14,4.67,10.39,0.00006,-82.0
Steem STEEM,0.23195,98930695,27689264,2.31,15.32,44.41,8.57442,-97.0
AVINOC AVINOC,0.25412,98914150,457389,-0.23,2.33,,,
CEEK VR CEEK,0.12263,98805730,9939025,-5.08,-8.97,43.31,0.48348,-75.0
Ergo ERG,1.67809,98400372,930066,-3.17,-6.39,-5.08,23.3498,-93.0
USDX [Kava] USDX,0.88142,98337702,230323,-0.27,-0.13,,,
MOBOX MBOX,0.56145,97958162,12066923,-4.45,-5.88,31.14,15.1272,-96.0
Morpheus Network MNW,2.07282,97795726,1177079,-8.96,12.83,,0.95980,-54.0
Powerledger POWR,0.19960,95951262,15832199,-2.58,10.25,45.99,2.01117,-90.0
MX Token MX,0.95061,95061170,2020246,-3.62,-0.02,8.06,3.71394,-74.0
Serum SRM,0.35757,94129467,16560558,-5.11,-5.55,97.74,13.5446,-97.0
Prom PROM,5.11240,93301216,6495134,-1.21,4.4,25.01,113.729,-96.0
Bifrost BFC,0.08577,93361677,10283291,10.17,14.62,240.47,0.14479,-85.0
WINk WIN,0.00010,93230338,16020055,-3.33,3.4,25.37,0.00293,-97.0
Mango Markets MNGO,0.16039,160394068,575923,-0.43,-17.65,,0.50958,-41.0
Acala Token ACA,0.14916,91442298,10240175,7.07,8.42,-1.59,0.20653,-100.0
Augur REP,8.22044,90424832,76712190,6.07,36.04,66.07,123.241,-93.0
Ren REN,0.09115,91064546,23823473,-8.67,2.46,37.93,1.82550,-95.0
JOE JOE,0.26663,89175291,10557781,-4.29,12.02,76.81,5.05117,-95.0
IQ IQ,0.00712,89168349,97740024,5.49,7.59,-15.43,0.07652,-94.0
Spell Token SPELL,0.00083,89003807,11863263,-2.06,-1.45,39.85,3527.36,-100.0
NKN NKN,0.11762,88786949,8085970,-1.13,6.32,29.82,1.47274,-92.0
Stratis STRAX,0.61877,90302778,16608355,4.45,5.35,36.48,22.6555,-97.0
Marlin POND,0.01084,87681381,6632651,-3.32,1.95,,0.01192,-9.0
Standard Tokenization Protocol STPT,0.04746,87549106,32860038,5.2,9.45,56.56,0.28320,-83.0
Mdex MDX,0.09228,87218276,5305725,-2.94,1.51,19.9,2.20261,-96.0
Ultra UOS,0.28610,86915913,1366538,-4.82,7.19,48.27,2.48241,-88.0
LCX LCX,0.11210,86495602,1312103,-2.6,-12.57,113.89,0.41978,-73.0
